* This is the StructMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to StructMobWeight.csv.
* Lines starting with '*' are comments and ignored
* It allows you to add and remove mobs and adjust their spawnweights for Structures
* like shipwrecks, nether fortresses, water monuments, etc.
* 
1, additionalstructures:acacia_log, HEADING, header:ignore, 0, 0, 0
78, additionalstructures:illager_house_1, HEADING, header:ignore, 0, 0, 0
79, additionalstructures:jungle_log, HEADING, header:ignore, 0, 0, 0
80, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
81, additionalstructures:jungle_tree_hole, HEADING, header:ignore, 0, 0, 0
82, horror_element_mod:laboratory, HEADING, header:ignore, 0, 0, 0
83, horror_element_mod:labyrinth, HEADING, header:ignore, 0, 0, 0
84, additionalstructures:lava_fountain, HEADING, header:ignore, 0, 0, 0
85, additionalstructures:log_bundle, HEADING, header:ignore, 0, 0, 0
86, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
87, additionalstructures:maya_temple, HEADING, header:ignore, 0, 0, 0
88, additionalstructures:meteor, HEADING, header:ignore, 0, 0, 0
89, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
90, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
91, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
92, bettermineshafts:mineshaft_dripstone, HEADING, header:ignore, 0, 0, 0
93, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
94, bettermineshafts:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
95, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
96, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
97, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
98, bettermineshafts:mineshaft_mushroom, HEADING, header:ignore, 0, 0, 0
99, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
100, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
101, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
102, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
103, bettermineshafts:mineshaft_spruce_snowy, HEADING, header:ignore, 0, 0, 0
104, minecraft:monument, HEADING, header:ignore, 0, 0, 0
105, minecraft:monument, MONSTER, minecraft:guardian, 5, 2, 4
106, additionalstructures:mushroom_house_1, HEADING, header:ignore, 0, 0, 0
107, additionalstructures:mushroom_house_2, HEADING, header:ignore, 0, 0, 0
108, additionalstructures:nether_building_1, HEADING, header:ignore, 0, 0, 0
109, additionalstructures:nether_building_2, HEADING, header:ignore, 0, 0, 0
110, additionalstructures:nether_building_3, HEADING, header:ignore, 0, 0, 0
111, additionalstructures:nether_dungeon_1, HEADING, header:ignore, 0, 0, 0
112, additionalstructures:nether_dungeon_2, HEADING, header:ignore, 0, 0, 0
113, additionalstructures:nether_dungeon_3, HEADING, header:ignore, 0, 0, 0
114, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
115, additionalstructures:nether_pillar_1, HEADING, header:ignore, 0, 0, 0
116, additionalstructures:nether_pillar_2, HEADING, header:ignore, 0, 0, 0
117, additionalstructures:nether_spawn_altar_1, HEADING, header:ignore, 0, 0, 0
118, additionalstructures:nether_spawn_altar_2, HEADING, header:ignore, 0, 0, 0
119, additionalstructures:nether_spawn_altar_3, HEADING, header:ignore, 0, 0, 0
120, additionalstructures:nether_villager_house_1, HEADING, header:ignore, 0, 0, 0
121, additionalstructures:nether_wall_ruin_1, HEADING, header:ignore, 0, 0, 0
122, additionalstructures:nether_wall_ruin_2, HEADING, header:ignore, 0, 0, 0
123, additionalstructures:nether_wall_ruin_3, HEADING, header:ignore, 0, 0, 0
124, additionalstructures:nether_wall_ruin_4, HEADING, header:ignore, 0, 0, 0
125, additionalstructures:oak_log_1, HEADING, header:ignore, 0, 0, 0
126, additionalstructures:oak_log_2, HEADING, header:ignore, 0, 0, 0
127, additionalstructures:oasis_1, HEADING, header:ignore, 0, 0, 0
128, additionalstructures:oasis_2, HEADING, header:ignore, 0, 0, 0
129, additionalstructures:obsidian_pillar_1, HEADING, header:ignore, 0, 0, 0
130, additionalstructures:obsidian_pillar_2, HEADING, header:ignore, 0, 0, 0
131, additionalstructures:obsidian_pillar_3, HEADING, header:ignore, 0, 0, 0
132, additionalstructures:obsidian_pillar_4, HEADING, header:ignore, 0, 0, 0
133, additionalstructures:obsidian_pillar_5, HEADING, header:ignore, 0, 0, 0
134, additionalstructures:obsidian_spike_1, HEADING, header:ignore, 0, 0, 0
135, additionalstructures:obsidian_spike_2, HEADING, header:ignore, 0, 0, 0
136, additionalstructures:obsidian_spike_3, HEADING, header:ignore, 0, 0, 0
137, additionalstructures:obsidian_tree_1, HEADING, header:ignore, 0, 0, 0
138, additionalstructures:obsidian_tree_2, HEADING, header:ignore, 0, 0, 0
139, additionalstructures:obsidian_tree_3, HEADING, header:ignore, 0, 0, 0
140, additionalstructures:obsidian_tree_4, HEADING, header:ignore, 0, 0, 0
141, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
142, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
143, additionalstructures:palm_1, HEADING, header:ignore, 0, 0, 0
144, additionalstructures:palm_2, HEADING, header:ignore, 0, 0, 0
145, additionalstructures:palm_3, HEADING, header:ignore, 0, 0, 0
146, additionalstructures:palm_4, HEADING, header:ignore, 0, 0, 0
147, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
148, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 5, 1, 1
149, additionalstructures:pillar_ruin_1, HEADING, header:ignore, 0, 0, 0
150, additionalstructures:pillar_ruin_2, HEADING, header:ignore, 0, 0, 0
151, additionalstructures:pillar_ruin_3, HEADING, header:ignore, 0, 0, 0
152, horror_element_mod:psycho_house, HEADING, header:ignore, 0, 0, 0
153, additionalstructures:pyramid_1, HEADING, header:ignore, 0, 0, 0
154, additionalstructures:pyramid_2, HEADING, header:ignore, 0, 0, 0
155, additionalstructures:pyramid_dungeon, HEADING, header:ignore, 0, 0, 0
156, additionalstructures:red_sandstone_totem_1, HEADING, header:ignore, 0, 0, 0
157, additionalstructures:red_sandstone_totem_2, HEADING, header:ignore, 0, 0, 0
158, additionalstructures:ruin_1, HEADING, header:ignore, 0, 0, 0
159, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
160, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
161, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
162, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
163, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
164, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
165, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
166, additionalstructures:sandstone_rock_1, HEADING, header:ignore, 0, 0, 0
167, additionalstructures:sandstone_rock_2, HEADING, header:ignore, 0, 0, 0
168, additionalstructures:sandstone_rock_3, HEADING, header:ignore, 0, 0, 0
169, additionalstructures:sandstone_totem_1, HEADING, header:ignore, 0, 0, 0
170, additionalstructures:sandstone_totem_2, HEADING, header:ignore, 0, 0, 0
171, additionalstructures:sandstone_totem_3, HEADING, header:ignore, 0, 0, 0
172, additionalstructures:scarecrow, HEADING, header:ignore, 0, 0, 0
173, additionalstructures:sewage_system_1, HEADING, header:ignore, 0, 0, 0
174, additionalstructures:sewage_system_1, MONSTER, minecraft:cave_spider, 5, 2, 4
175, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
176, minecraft:shipwreck, MONSTER, alexsmobs:skelewag, 15, 1, 2
177, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
178, additionalstructures:shulker_cluster_1, HEADING, header:ignore, 0, 0, 0
179, additionalstructures:shulker_cluster_2, HEADING, header:ignore, 0, 0, 0
180, additionalstructures:silverfish_cluster_1, HEADING, header:ignore, 0, 0, 0
181, additionalstructures:silverfish_cluster_2, HEADING, header:ignore, 0, 0, 0
182, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
183, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 80, 4, 15
184, additionalstructures:skeleton_skull, HEADING, header:ignore, 0, 0, 0
185, betterdungeons:small_dungeon, HEADING, header:ignore, 0, 0, 0
186, betterdungeons:small_nether_dungeon, HEADING, header:ignore, 0, 0, 0
187, additionalstructures:snow_pile_1, HEADING, header:ignore, 0, 0, 0
188, additionalstructures:snow_pile_2, HEADING, header:ignore, 0, 0, 0
189, additionalstructures:snow_pile_3, HEADING, header:ignore, 0, 0, 0
190, additionalstructures:snowman_1, HEADING, header:ignore, 0, 0, 0
191, additionalstructures:snowman_2, HEADING, header:ignore, 0, 0, 0
192, additionalstructures:sphinx, HEADING, header:ignore, 0, 0, 0
193, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
194, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 80, 4, 15
195, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 50, 4, 8
196, additionalstructures:spider_nest_1, HEADING, header:ignore, 0, 0, 0
197, additionalstructures:spider_nest_1, MONSTER, minecraft:cave_spider, 5, 2, 4
198, additionalstructures:spider_nest_2, HEADING, header:ignore, 0, 0, 0
199, additionalstructures:spider_nest_2, MONSTER, minecraft:cave_spider, 5, 2, 4
200, additionalstructures:spider_nest_3, HEADING, header:ignore, 0, 0, 0
201, additionalstructures:spider_nest_3, MONSTER, minecraft:cave_spider, 5, 2, 4
202, additionalstructures:spruce_log_1, HEADING, header:ignore, 0, 0, 0
203, additionalstructures:spruce_log_2, HEADING, header:ignore, 0, 0, 0
204, additionalstructures:standing_acacia_log, HEADING, header:ignore, 0, 0, 0
205, additionalstructures:standing_dark_oak_log, HEADING, header:ignore, 0, 0, 0
206, additionalstructures:standing_jungle_log, HEADING, header:ignore, 0, 0, 0
207, additionalstructures:standing_oak_log, HEADING, header:ignore, 0, 0, 0
208, additionalstructures:standing_spruce_log, HEADING, header:ignore, 0, 0, 0
209, additionalstructures:stone_circle_1, HEADING, header:ignore, 0, 0, 0
210, additionalstructures:stone_circle_2, HEADING, header:ignore, 0, 0, 0
211, additionalstructures:stone_circle_3, HEADING, header:ignore, 0, 0, 0
212, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
213, additionalstructures:suspicious_gravel_patch_1, HEADING, header:ignore, 0, 0, 0
214, additionalstructures:suspicious_gravel_patch_2, HEADING, header:ignore, 0, 0, 0
215, additionalstructures:suspicious_sand_patch_1, HEADING, header:ignore, 0, 0, 0
216, additionalstructures:suspicious_sand_patch_2, HEADING, header:ignore, 0, 0, 0
217, additionalstructures:suspicious_sand_patch_3, HEADING, header:ignore, 0, 0, 0
218, additionalstructures:suspicious_sand_patch_4, HEADING, header:ignore, 0, 0, 0
219, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
220, minecraft:swamp_hut, MONSTER, minecraft:witch, 5, 1, 1
221, minecraft:swamp_hut, CREATURE, minecraft:cat, 5, 1, 1
222, additionalstructures:temple_1, HEADING, header:ignore, 0, 0, 0
223, additionalstructures:temple_2, HEADING, header:ignore, 0, 0, 0
224, additionalstructures:tomb_1, HEADING, header:ignore, 0, 0, 0
225, additionalstructures:tomb_2, HEADING, header:ignore, 0, 0, 0
226, additionalstructures:tomb_3, HEADING, header:ignore, 0, 0, 0
227, additionalstructures:tomb_4, HEADING, header:ignore, 0, 0, 0
228, additionalstructures:tower_1, HEADING, header:ignore, 0, 0, 0
229, additionalstructures:tower_2, HEADING, header:ignore, 0, 0, 0
230, minecraft:trail_ruins, HEADING, header:ignore, 0, 0, 0
231, additionalstructures:underground_base_1, HEADING, header:ignore, 0, 0, 0
232, additionalstructures:underground_base_2, HEADING, header:ignore, 0, 0, 0
233, additionalstructures:underground_dungeon_1, HEADING, header:ignore, 0, 0, 0
234, additionalstructures:underground_dungeon_2, HEADING, header:ignore, 0, 0, 0
235, additionalstructures:underground_nether_portal, HEADING, header:ignore, 0, 0, 0
236, additionalstructures:underground_stollen_1, HEADING, header:ignore, 0, 0, 0
237, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
238, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
239, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
240, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
241, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
242, additionalstructures:villager_house_1, HEADING, header:ignore, 0, 0, 0
243, additionalstructures:villager_house_2, HEADING, header:ignore, 0, 0, 0
244, additionalstructures:villager_house_3, HEADING, header:ignore, 0, 0, 0
245, additionalstructures:villager_house_4, HEADING, header:ignore, 0, 0, 0
246, horror_element_mod:voodoo_sanctum, HEADING, header:ignore, 0, 0, 0
247, additionalstructures:wall_ruin_1, HEADING, header:ignore, 0, 0, 0
248, additionalstructures:wall_ruin_2, HEADING, header:ignore, 0, 0, 0
249, supplementaries:way_sign, HEADING, header:ignore, 0, 0, 0
250, additionalstructures:well_1, HEADING, header:ignore, 0, 0, 0
251, additionalstructures:well_2, HEADING, header:ignore, 0, 0, 0
252, additionalstructures:wither_skull, HEADING, header:ignore, 0, 0, 0
253, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
254, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 80, 4, 15
